class_id,class_name,comments,overview,professor_id,keywords,credits ,rating,review,term,year,prereq,grades_scheme
CS 001,Introduction to Computer Programming,,"A course on computer programming emphasizing the program design process and pragmatic programming skills. It will use the Python programming language and will not assume previous programming experience. Material covered will include data types, variables, assignment, control structures, functions, scoping, compound data, string processing, modules, basic input/output (terminal and file), as well as more advanced topics such as recursion, exception handling and object-oriented programming. Program development and maintenance skills including debugging, testing, and documentation will also be taught. Assignments will include problems drawn from fields such as graphics, numerics, networking, and games. At the end of the course, students will be ready to learn other programming languages in courses such as CS 11, and will also be ready to take more in-depth courses such as CS 2 and CS 4.",7FeMOiV,computer,9,3,amazing,3,2024,,PASS-FAIL
CS 003,Introduction to Software Design,,"CS 3 is a practical introduction to designing large programs in a low-level language. Heavy emphasis is placed on documentation, testing, and software architecture. Students will work in teams in two 5-week long projects. In the first half of the course, teams will focus on testing and extensibility. In the second half of the course, teams will use POSIX APIs, as well as their own code from the first five weeks, to develop a large software deliverable. Software engineering topics covered include code reviews, testing and testability, code readability, API design, refactoring, and documentation.",NaMRiD5,design,9,5,,3,2024,CS 001,LETTER
Ma/CS 006C,Introduction to Discrete Mathematics,taught concurrently with Ma 106c,"First term: a survey emphasizing graph theory, algorithms, and applications of algebraic structures. Graphs: paths, trees, circuits, breadth-first and depth-first searches, colorings, matchings. Enumeration techniques; formal power series; combinatorial interpretations. Topics from coding and cryptography, including Hamming codes and RSA. Second term: directed graphs; networks; combinatorial optimization; linear programming. Permutation groups; counting nonisomorphic structures. Topics from extremal graph and set theory, and partially ordered sets. Third term: syntax and semantics of propositional and first-order logic. Introduction to the Godel completeness and incompleteness theorems. Elements of computability theory and computational complexity. Discussion of the P=NP problem.",07Z87hX,discrete,9,5,,3,2024,,
EE/CS 010B,Introduction to Digital Logic and Embedded Systems,,"This course is intended to give the student a basic understanding of the major hardware and software principles involved in the specification and design of embedded systems. The course will cover basic digital logic, programmable logic devices, CPU and embedded system architecture, and embedded systems programming principles (interfacing to hardware, events, user interfaces, and multi-tasking).",dNeqzvV,digital logic,6,4,so cool,3,2024,,
CS 011,Computer Language Lab: Rust Track,max enrollment: 10 students between CS 011 and CS 111,"A self-paced lab that provides students with extra practice and supervision in transferring their programming skills to a particular programming language. The course can be used for any language of the student's choosing, subject to approval by the instructor. A series of exercises guide students through the pragmatic use of the chosen language, building their familiarity, experience, and style. More advanced students may propose their own programming project as the target demonstration of their new language skills. This course is available for undergraduate students only. Graduate students should register for CS 111. CS 11 may be repeated for credit of up to a total of nine units.",qU4ffIA,Rust,3,1,,3,2024,,PASS-FAIL
CS 012,Student-Taught Topics in Computing,Tensorflow,Each section covers a topic in computing with associated sets or projects. Sections are designed and taught by an undergraduate student under the supervision of a CMS faculty member. CS 12 may be repeated for credit of up to a total of nine units.,qU4ffIA,student-taught,3,2,,3,2024,,PASS-FAIL
CS 038,Algorithms,,"This course introduces techniques for the design and analysis of efficient algorithms. Major design techniques (the greedy approach, divide and conquer, dynamic programming, linear programming) will be introduced through a variety of algebraic, graph, and optimization problems. Methods for identifying intractability (via NP-completeness) will be discussed.",mDVvyPo,algorithms,9,5,lot of work,3,2024,,
CS 101,Database System Implementation,Enrollment only by instructor's permission / not open to general  enrollment,"The topics covered vary from year to year, depending on the students and staff. Primarily for undergraduates. ",Vi5459O,database,3,1,,3,2024,,LETTER
Ma/CS 106C,Introduction to Discrete Mathematics,taught concurrently with Ma/CS 006c,"First term: a survey emphasizing graph theory, algorithms, and applications of algebraic structures. Graphs: paths, trees, circuits, breadth-first and depth-first searches, colorings, matchings. Enumeration techniques; formal power series; combinatorial interpretations. Topics from coding and cryptography, including Hamming codes and RSA. Second term: directed graphs; networks; combinatorial optimization; linear programming. Permutation groups; counting nonisomorphic structures. Topics from extremal graph and set theory, and partially ordered sets. Third term: syntax and semantics of propositional and first-order logic. Introduction to the Godel completeness and incompleteness theorems. Elements of computability theory and computational complexity. Discussion of the P=NP problem.",07Z87hX,discrete,9,2,,3,2024,,
CS 111,Graduate Programming Practicum: Rust track,max enrollment: 10 students between CS 011 and CS 111,"A self-paced lab that provides students with extra practice and supervision in transferring their programming skills to a particular programming language. The course can be used for any language of the student's choosing, subject to approval by the instructor. A series of exercises guide students through the pragmatic use of the chosen language, building their familiarity, experience, and style. More advanced students may propose their own programming project as the target demonstration of their new language skills. This course is available for undergraduate students only. Graduate students should register for CS 111. CS 11 may be repeated for credit of up to a total of nine units.",qU4ffIA,Rust,3,4,,3,2024,,PASS-FAIL
