section_id,class_id,class_location,class_time,recitation,capacity
1,CS 001,213 ANB,MWF 1:00 - 1:55 pm,,0
1,CS 003,105 ANB,MW 1:00 - 1:55 pm,106 ANB T 10:00 - 10:55,15
2,CS 003,105 ANB,MW 1:00 - 1:55 pm,106 ANB T 11:00 - 11:55,15
3,CS 003,105 ANB,MW 1:00 - 1:55 pm,106 ANB T 12:00 - 12:55,15
4,CS 003,105 ANB,MW 1:00 - 1:55 pm,106 ANB T 13:00 - 13:55,15
5,CS 003,105 ANB,MW 1:00 - 1:55 pm,106 ANB T 15:00 - 15:55,15
6,CS 003,105 ANB,MW 1:00 - 1:55 pm,106 ANB T 16:00 - 16:55,15
7,CS 003,105 ANB,MW 1:00 - 1:55 pm,106 ANB T 17:00 - 17:55,15
8,CS 003,105 ANB,MW 1:00 - 1:55 pm,106 ANB T 18:00 - 18:55,15
1,Ma/CS 006C,310 LINDE,TR 1:00 - 2:25 pm,,0
1,EE/CS 010B,B280 MRE,TF 3:00 - 3:55 pm,,0
1,CS 011,105 ANB,OM 9:00 - 9:55 pm,,10
1,CS 012,121 ANB,T 8:00 - 8:55 pm,,0
1,CS 038,125 KRK,TR 9:00 - 10:25 am,,0
1,CS 101,,,,0
1,Ma/CS 106C,310 LINDE,TR 1:00 - 2:25 pm,,0
1,CS 111,105 ANB,OM 9:00 - 9:55 pm,,10
1,CS 115,105 ANB,MWF 2:00 - 2:55 pm,,0
1,CS 124,104 ANB,MWF 1:00 - 1:55 pm,,0
1,ME/CS/EE 129,135 GTL,MWF 1:00 - 1:55 pm,,0
1,CS 132,105 ANB,TR 10:30 - 11:55 am,,0
1,CS 137,106 ANB,OM 8:00 - 8:55 pm,,30
1,CS 138,125 KRK,TR 9:00 - 10:25 am,,0
1,CS/EE/IDS 143,105 ANB,TR 1:00 - 2:25 pm,,0
1,CS/EE 145,105 ANB,OM 10:00 - 10:55 am,,0
1,CS/EE 146,314 ANB,TR 10:30 - 11:55 am,,0
